id,L,S,M_surface,M_tags,morph_expand
44,prāp,prāptān,prāp,PAPaM,Case = Accusative; Gender = Masculine; Number = Plural; VerbForm = Part
45,vyasana,vyasanam,vyasana,SANe,Case = Accusative; Gender = Neuter; Number = Singular
46,uttama,uttamam,uttama,SANe,Case = Accusative; Gender = Neuter; Number = Singular
47,kimāhāra,kimāhārāḥ,kimāhāra,PNM,Case = Nominative; Gender = Masculine; Number = Plural
48,kimācāra,kimācārāḥ,kimācāra,PNM,Case = Nominative; Gender = Masculine; Number = Plural
49,kva,kva,kva,,Note: Probably indeclinable
50,ca,ca,ca,,Note: Probably indeclinable
51,vāsa,vāsaḥ,vāsa,SNM,Case = Nominative; Gender = Masculine; Number = Singular
52,mahātman,mahātmanām,mahātman,PGM,Case = Genitive; Gender = Masculine; Number = Plural
53,katham,katham,katham,,Note: Probably indeclinable
54,dvādaśan,dvādaśa,dvādaśan,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
55,varṣa,varṣāṇi,varṣa,PNNe,Case = Nominative; Gender = Neuter; Number = Plural
56,vana,vane,vana,SLNe,Case = Locative; Gender = Neuter; Number = Singular
57,tad,teṣām,tad,PGM,Case = Genitive; Gender = Masculine; Number = Plural
58,mahātman,mahātmanām,mahātman,PGM,Case = Genitive; Gender = Masculine; Number = Plural
59,vyatī,vyatīyuḥ,vyatī,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
60,brāhmaṇa,brāhmaṇa,brāhmaṇa,Cp,Compound
61,śreṣṭha,śreṣṭha,śreṣṭha,SVM,Case = Vocative; Gender = Masculine; Number = Singular
62,śūra,śūrāṇām,śūra,PGM,Case = Genitive; Gender = Masculine; Number = Plural
63,ari,ari,ari,Cp,Compound
64,ghātin,ghātinām,ghātin,PGM,Case = Genitive; Gender = Masculine; Number = Plural
65,katham,katham,katham,,Note: Probably indeclinable
66,ca,ca,ca,,Note: Probably indeclinable
67,rājan,rāja,rājan,Cp,Compound
68,putrī,putrī,putrī,SNF,Case = Nominative; Gender = Feminine; Number = Singular
69,tad,sā,tad,SNF,Case = Nominative; Gender = Feminine; Number = Singular
70,pravara,pravarā,pravara,SNF,Case = Nominative; Gender = Feminine; Number = Singular
71,sarva,sarva,sarva,Cp,Compound
72,yoṣit,yoṣitām,yoṣit,PGF,Case = Genitive; Gender = Feminine; Number = Plural
73,pativratā,pativratā,pativratā,SNF,Case = Nominative; Gender = Feminine; Number = Singular
74,mahābhāga,mahābhāgā,mahābhāga,SNF,Case = Nominative; Gender = Feminine; Number = Singular
75,satatam,satatam,satatam,,Note: Probably indeclinable
76,satya,satya,satya,Cp,Compound
77,vādin,vādinī,vādin,SNF,Case = Nominative; Gender = Feminine; Number = Singular
78,vana,vana,vana,Cp,Compound
79,vāsa,vāsam,vāsa,SAM,Case = Accusative; Gender = Masculine; Number = Singular
80,aduḥkha,aduḥkha,aduḥkha,Cp,Compound
81,arha,arhā,arha,SNF,Case = Nominative; Gender = Feminine; Number = Singular
82,dāruṇa,dāruṇam,dāruṇa,SAM,Case = Accusative; Gender = Masculine; Number = Singular
83,pratipad,pratyapadyata,pratipad,S3ImIn,Mood = Imperative; Mood = Indicative; Number = Singular; Person = 3
84,etad,etat,etad,SANe,Case = Accusative; Gender = Neuter; Number = Singular
85,ācakṣ,ācakṣva,ācakṣ,S2ImIn,Mood = Imperative; Mood = Indicative; Number = Singular; Person = 2
86,mad,me,mad,SG,Case = Genitive; Number = Singular
87,sarva,sarvam,sarva,SANe,Case = Accusative; Gender = Neuter; Number = Singular
88,vistara,vistareṇa,vistara,SIM,Case = Instrumental; Gender = Masculine; Number = Singular
89,tapodhana,tapodhana,tapodhana,SVM,Case = Vocative; Gender = Masculine; Number = Singular
90,śru,śrotum,śru,In,Mood = Indicative
91,iṣ,icchāmi,iṣ,SPr1In,Mood = Indicative; Number = Singular; Person = 1; Tense = Present
92,carita,caritam,carita,SANe,Case = Accusative; Gender = Neuter; Number = Singular
93,bhūri,bhūri,bhūri,Cp,Compound
94,draviṇa,draviṇa,draviṇa,Cp,Compound
95,tejas,tejasām,tejas,PGM,Case = Genitive; Gender = Masculine; Number = Plural
96,kathay,kathyamānam,kathay,SAPaPrNePv,Case = Accusative; Gender = Neuter; Number = Singular; Tense = Present; VerbForm = Part; Voice = Passive
97,tvad,tvayā,tvad,SI,Case = Instrumental; Number = Singular
98,vipra,vipra,vipra,SVM,Case = Vocative; Gender = Masculine; Number = Singular
99,para,param,para,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
100,kautūhala,kautūhalam,kautūhala,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
101,hi,hi,hi,,Note: Probably indeclinable
102,mad,me,mad,SG,Case = Genitive; Number = Singular
103,vaiśampāyana,vaiśaṃpāyanaḥ,vaiśampāyana,SNM,Case = Nominative; Gender = Masculine; Number = Singular
104,vac,uvāca,vac,SPs3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Past
105,evam,evam,evam,,Note: Probably indeclinable
106,dyūta,dyūta,dyūta,Cp,Compound
107,ji,jitāḥ,ji,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
108,pārtha,pārthāḥ,pārtha,PNM,Case = Nominative; Gender = Masculine; Number = Plural
109,kopay,kopitāḥ,kopay,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
110,ca,ca,ca,,Note: Probably indeclinable
111,durātman,durātmabhiḥ,durātman,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
112,dhārtarāṣṭra,dhārtarāṣṭraiḥ,dhārtarāṣṭra,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
113,saha,saha,saha,,Note: Probably indeclinable
114,amātya,amātyaiḥ,amātya,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
115,niryā,niryayuḥ,niryā,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
116,gajasāhvaya,gajasāhvayāt,gajasāhvaya,SBNe,Case = Ablative; Gender = Neuter; Number = Singular
117,vardhamāna,vardhamāna,vardhamāna,Cp,Compound
118,pura,pura,pura,Cp,Compound
119,dvāra,dvāreṇa,dvāra,SINe,Case = Instrumental; Gender = Neuter; Number = Singular
120,abhiniṣkram,abhiniṣkramya,abhiniṣkram,Co,Conjunction
121,tad,te,tad,PNM,Case = Nominative; Gender = Masculine; Number = Plural
122,tadā,tadā,tadā,,Note: Probably indeclinable
123,udañc,udak,udañc,Cp,Compound
124,mukha,mukhāḥ,mukha,PNM,Case = Nominative; Gender = Masculine; Number = Plural
125,śastrabhṛt,śastrabhṛtaḥ,śastrabhṛt,PNM,Case = Nominative; Gender = Masculine; Number = Plural
126,prayā,prayayuḥ,prayā,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
127,saha,saha,saha,,Note: Probably indeclinable
128,kṛṣṇā,kṛṣṇayā,kṛṣṇā,SIF,Case = Instrumental; Gender = Feminine; Number = Singular
129,indrasena,indrasena,indrasena,Cp,Compound
130,ādi,ādayaḥ,ādi,PNM,Case = Nominative; Gender = Masculine; Number = Plural
131,ca,ca,ca,,Note: Probably indeclinable
132,enad,enān,enad,PAM,Case = Accusative; Gender = Masculine; Number = Plural
133,bhṛtya,bhṛtyāḥ,bhṛtya,PNM,Case = Nominative; Gender = Masculine; Number = Plural
134,pari,pari,pari,,Note: Probably indeclinable
135,caturdaśan,caturdaśa,caturdaśan,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
136,ratha,rathaiḥ,ratha,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
137,anuyā,anuyayuḥ,anuyā,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
138,śīghra,śīghraiḥ,śīghra,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
139,strī,striyaḥ,strī,PAF,Case = Accusative; Gender = Feminine; Number = Plural
140,ādā,ādāya,ādā,Co,Conjunction
141,sarvaśas,sarvaśas,sarvaśas,,Note: Probably indeclinable
142,tatas,tatas,tatas,,Note: Probably indeclinable
143,tad,te,tad,PNM,Case = Nominative; Gender = Masculine; Number = Plural
144,puruṣa,puruṣa,puruṣa,Cp,Compound
145,vyāghra,vyāghrāḥ,vyāghra,PNM,Case = Nominative; Gender = Masculine; Number = Plural
146,ratha,rathān,ratha,PAM,Case = Accusative; Gender = Masculine; Number = Plural
147,āsthā,āsthāya,āsthā,Co,Conjunction
148,bhārata,bhārataiḥ,bhārata,SVM,Case = Vocative; Gender = Masculine; Number = Singular
149,dṛś,dadṛśuḥ,dṛś,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
150,jāhnavī,jāhnavī,jāhnavī,Cp,Compound
151,tīra,tīre,tīra,SLNe,Case = Locative; Gender = Neuter; Number = Singular
152,pramāṇa,pramāṇa,pramāṇa,Cp,Compound
153,ākhyā,ākhyam,ākhyā,SAM,Case = Accusative; Gender = Masculine; Number = Singular
154,mahat,mahā,mahat,Cp,Compound
155,vaṭa,vaṭam,vaṭa,SAM,Case = Accusative; Gender = Masculine; Number = Singular
156,vraj,vrajataḥ,vraj,PAPaPrM,Case = Accusative; Gender = Masculine; Number = Plural; Tense = Present; VerbForm = Part
157,tad,tān,tad,PAM,Case = Accusative; Gender = Masculine; Number = Plural
158,vid,viditvā,vid,Co,Conjunction
159,tu,tu,tu,,Note: Probably indeclinable
160,paura,paurāḥ,paura,PNM,Case = Nominative; Gender = Masculine; Number = Plural
161,śoka,śoka,śoka,Cp,Compound
162,abhipīḍay,abhipīḍitāḥ,abhipīḍay,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
163,garhay,garhayantaḥ,garhay,PNPaPrM,Case = Nominative; Gender = Masculine; Number = Plural; Tense = Present; VerbForm = Part
164,asakṛt,asakṛt,asakṛt,,Note: Probably indeclinable
165,bhīṣma,bhīṣma,bhīṣma,Cp,Compound
166,vidura,vidura,vidura,Cp,Compound
167,droṇa,droṇa,droṇa,Cp,Compound
168,gautama,gautamān,gautama,PAM,Case = Accusative; Gender = Masculine; Number = Plural
169,vac,ūcuḥ,vac,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
170,vigam,vigata,vigam,PaCp,Compound; VerbForm = Part
171,saṃtrāsa,saṃtrāsāḥ,saṃtrāsa,PNM,Case = Nominative; Gender = Masculine; Number = Plural
172,samāgam,samāgamya,samāgam,Co,Conjunction
173,paraspara,parasparam,paraspara,SAM,Case = Accusative; Gender = Masculine; Number = Singular
174,na,na,na,,Note: Probably indeclinable
175,idam,idam,idam,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
176,as,asti,as,SPr3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Present
177,kula,kulam,kula,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
178,sarva,sarvam,sarva,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
179,na,na,na,,Note: Probably indeclinable
180,mad,vayam,mad,PN,Case = Nominative; Number = Plural
181,na,na,na,,Note: Probably indeclinable
182,ca,ca,ca,,Note: Probably indeclinable
183,mad,naḥ,no,,Note: Probably indeclinable
184,gṛha,gṛhāḥ,gṛha,PNM,Case = Nominative; Gender = Masculine; Number = Plural
185,yatra,yatra,yatra,,Note: Probably indeclinable
186,duryodhana,duryodhanaḥ,duryodhana,SNM,Case = Nominative; Gender = Masculine; Number = Singular
187,pāpa,pāpaḥ,pāpa,SNM,Case = Nominative; Gender = Masculine; Number = Singular
188,saubaleya,saubaleyena,saubaleya,SIM,Case = Instrumental; Gender = Masculine; Number = Singular
189,pālay,pālitaḥ,pālay,SNPaM,Case = Nominative; Gender = Masculine; Number = Singular; VerbForm = Part
190,karṇa,karṇa,karṇa,Cp,Compound
191,duḥśāsana,duḥśāsanābhyām,duḥśāsana,DuIM,Case = Instrumental; Gender = Masculine; Number = Dual
192,ca,ca,ca,,Note: Probably indeclinable
193,rājya,rājyam,rājya,SANe,Case = Accusative; Gender = Neuter; Number = Singular
194,etad,etat,etad,SANe,Case = Accusative; Gender = Neuter; Number = Singular
195,cikīrṣ,cikīrṣati,cikīrṣ,SPr3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Present
196,no,no,no,,Note: Probably indeclinable
197,ced,ced,ced,,Note: Probably indeclinable
198,kula,kulam,kula,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
199,na,na,na,,Note: Probably indeclinable
200,ca,ca,ca,,Note: Probably indeclinable
201,ācāra,ācāraḥ,ācāra,SNM,Case = Nominative; Gender = Masculine; Number = Singular
202,na,na,na,,Note: Probably indeclinable
203,dharma,dharmaḥ,dharma,SNM,Case = Nominative; Gender = Masculine; Number = Singular
204,artha,arthaḥ,artha,SNM,Case = Nominative; Gender = Masculine; Number = Singular
205,kutas,kutas,kutas,,Note: Probably indeclinable
206,sukha,sukham,sukha,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
207,yatra,yatra,yatra,,Note: Probably indeclinable
208,pāpa,pāpa,pāpa,Cp,Compound
209,sahāya,sahāyaḥ,sahāya,SNM,Case = Nominative; Gender = Masculine; Number = Singular
210,idam,ayam,idam,SNM,Case = Nominative; Gender = Masculine; Number = Singular
211,pāpa,pāpaḥ,pāpa,SNM,Case = Nominative; Gender = Masculine; Number = Singular
212,rājya,rājyam,rājya,SANe,Case = Accusative; Gender = Neuter; Number = Singular
213,bubhūṣ,bubhūṣate,bubhūṣ,SPr3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Present
214,duryodhana,duryodhanaḥ,duryodhana,SNM,Case = Nominative; Gender = Masculine; Number = Singular
215,guru,guru,guru,Cp,Compound
216,dveṣin,dveṣī,dveṣin,SNM,Case = Nominative; Gender = Masculine; Number = Singular
217,tyaj,tyakta,tyaj,PaCp,Compound; VerbForm = Part
218,ācāra,ācāra,ācāra,Cp,Compound
219,suhṛd,suhṛd,suhṛd,Cp,Compound
220,jana,janaḥ,jana,SNM,Case = Nominative; Gender = Masculine; Number = Singular
221,artha,artha,artha,Cp,Compound
222,lubh,lubdhaḥ,lubh,SNPaM,Case = Nominative; Gender = Masculine; Number = Singular; VerbForm = Part
223,abhimānin,abhimānī,abhimānin,SNM,Case = Nominative; Gender = Masculine; Number = Singular
224,ca,ca,ca,,Note: Probably indeclinable
225,nīca,nīcaḥ,nīca,SNM,Case = Nominative; Gender = Masculine; Number = Singular
226,prakṛti,prakṛti,prakṛti,Cp,Compound
227,nirghṛṇa,nirghṛṇaḥ,nirghṛṇa,SNM,Case = Nominative; Gender = Masculine; Number = Singular
228,na,na,na,,Note: Probably indeclinable
229,idam,iyam,idam,SNF,Case = Nominative; Gender = Feminine; Number = Singular
230,as,asti,as,SPr3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Present
231,mahī,mahī,mahī,SNF,Case = Nominative; Gender = Feminine; Number = Singular
232,kṛtsna,kṛtsnā,kṛtsna,SNF,Case = Nominative; Gender = Feminine; Number = Singular
233,yatra,yatra,yatra,,Note: Probably indeclinable
234,duryodhana,duryodhanaḥ,duryodhana,SNM,Case = Nominative; Gender = Masculine; Number = Singular
235,nṛpa,nṛpaḥ,nṛpa,SNM,Case = Nominative; Gender = Masculine; Number = Singular
236,sādhu,sādhu,sādhu,SANe,Case = Accusative; Gender = Neuter; Number = Singular
237,gam,gacchāmahe,gam,PPr1In,Mood = Indicative; Number = Plural; Person = 1; Tense = Present
238,sarva,sarve,sarva,PNM,Case = Nominative; Gender = Masculine; Number = Plural
239,yatra,yatra,yatra,,Note: Probably indeclinable
240,gam,gacchanti,gam,PPr3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Present
241,pāṇḍava,pāṇḍavāḥ,pāṇḍava,PNM,Case = Nominative; Gender = Masculine; Number = Plural
242,sa,sa,sa,,Note: Probably indeclinable
243,anukrośa,anukrośāḥ,anukrośa,PNM,Case = Nominative; Gender = Masculine; Number = Plural
244,mahātman,mahātmānaḥ,mahātman,PNM,Case = Nominative; Gender = Masculine; Number = Plural
245,viji,vijita,viji,PaCp,Compound; VerbForm = Part
246,indriya,indriya,indriya,Cp,Compound
247,śatru,śatravaḥ,śatru,PNM,Case = Nominative; Gender = Masculine; Number = Plural
248,hrīmat,hrīmantaḥ,hrīmat,PNM,Case = Nominative; Gender = Masculine; Number = Plural
249,kīrtimat,kīrtimantaḥ,kīrtimat,PNM,Case = Nominative; Gender = Masculine; Number = Plural
250,ca,ca,ca,,Note: Probably indeclinable
251,dharma,dharma,dharma,Cp,Compound
252,ācāra,ācāra,ācāra,Cp,Compound
253,parāyaṇa,parāyaṇāḥ,parāyaṇa,PNM,Case = Nominative; Gender = Masculine; Number = Plural
254,evam,evam,evam,,Note: Probably indeclinable
255,vac,uktvā,vac,Co,Conjunction
256,anugam,anujagmuḥ,anugam,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
257,tad,tān,tad,PAM,Case = Accusative; Gender = Masculine; Number = Plural
258,pāṇḍava,pāṇḍavān,pāṇḍava,PAM,Case = Accusative; Gender = Masculine; Number = Plural
259,tad,te,tad,PNM,Case = Nominative; Gender = Masculine; Number = Plural
260,same,sametya,same,Co,Conjunction
261,ca,ca,ca,,Note: Probably indeclinable
262,vac,ūcuḥ,ūc,PPs3In,Mood = Indicative; Number = Plural; Person = 3; Tense = Past
263,prāñjali,prāñjalayaḥ,prāñjali,PNM,Case = Nominative; Gender = Masculine; Number = Plural
264,sarva,sarve,sarva,PNM,Case = Nominative; Gender = Masculine; Number = Plural
265,tad,tān,tad,PAM,Case = Accusative; Gender = Masculine; Number = Plural
266,kuntī,kuntīm,kuntī,Cp,Compound
267,mādrinandana,ādrinandanān,mādrinandana,PAM,Case = Accusative; Gender = Masculine; Number = Plural
268,kva,kva,kva,,Note: Probably indeclinable
269,gam,gamiṣyatha,gam,PFu2In,Mood = Indicative; Number = Plural; Person = 2; Tense = Future
270,bhadra,bhadram,bhadra,SNNe,Case = Nominative; Gender = Neuter; Number = Singular
271,tvad,vaḥ,tvad,PG,Case = Genitive; Number = Plural
272,tyaj,tyaktvā,tyaj,Co,Conjunction
273,mad,asmān,mad,PA,Case = Accusative; Number = Plural
274,duḥkha,duḥkha,duḥkha,Cp,Compound
275,bhāgin,bhāginaḥ,bhāgin,PAM,Case = Accusative; Gender = Masculine; Number = Plural
276,mad,vayam,vayad,PN,Case = Nominative; Number = Plural
277,api,api,api,,Note: Probably indeclinable
278,anuyā,anuyāsyāmaḥ,anuyā,PFu1In,Mood = Indicative; Number = Plural; Person = 1; Tense = Future
279,yatra,yatra,yatra,,Note: Probably indeclinable
280,tvad,yūyam,tvad,PN,Case = Nominative; Number = Plural
281,gam,gamiṣyatha,gam,PFu2In,Mood = Indicative; Number = Plural; Person = 2; Tense = Future
282,adharma,adharmeṇa,adharma,SIM,Case = Instrumental; Gender = Masculine; Number = Singular
283,ji,jitān,ji,PAPaM,Case = Accusative; Gender = Masculine; Number = Plural; VerbForm = Part
284,śru,śrutvā,śru,Co,Conjunction
285,tvad,yuṣmān,tvad,PA,Case = Accusative; Number = Plural
286,tyaj,tyakta,tyaj,PaCp,Compound; VerbForm = Part
287,ghṛṇā,ghṛṇaiḥ,ghṛṇā,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
288,para,paraiḥ,para,PIM,Case = Instrumental; Gender = Masculine; Number = Plural
289,udvij,udvignāḥ,udvij,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
290,sma,sma,sma,,Note: Probably indeclinable
291,bhṛśam,bhṛśam,bhṛśam,,Note: Probably indeclinable
292,sarva,sarve,sarva,PNM,Case = Nominative; Gender = Masculine; Number = Plural
293,na,na,na,,Note: Probably indeclinable
294,mad,asmān,mad,PA,Case = Accusative; Number = Plural
295,hā,hātum,hā,In,Mood = Indicative
296,iha,iha,iha,,Note: Probably indeclinable
297,arh,arhatha,arh,PPr2In,Mood = Indicative; Number = Plural; Person = 2; Tense = Present
298,bhakta,bhakta,bhakta,Cp,Compound
299,anurañj,anuraktāḥ,anurañj,PNPaM,Case = Nominative; Gender = Masculine; Number = Plural; VerbForm = Part
300,suhṛd,suhṛdaḥ,suhṛd,PAM,Case = Accusative; Gender = Masculine; Number = Plural
301,sadā,sadā,sadā,,Note: Probably indeclinable
302,priya,priya,priya,Cp,Compound
303,hita,hite,hita,SLNe,Case = Locative; Gender = Neuter; Number = Singular
304,ram,ratān,ram,PAPaM,Case = Accusative; Gender = Masculine; Number = Plural; VerbForm = Part
305,ku,ku,ku,,Note: Probably indeclinable
306,rājan,rāja,rājan,Cp,Compound
307,adhiṣṭhā,adhiṣṭhite,adhiṣṭhā,SLPaNe,Case = Locative; Gender = Neuter; Number = Singular; VerbForm = Part
308,rājya,rājye,rājya,SLNe,Case = Locative; Gender = Neuter; Number = Singular
309,na,na,na,,Note: Probably indeclinable
310,vinaś,vinaśyema,vinaś,PPr1O,Mood = Optative; Number = Plural; Person = 1; Tense = Present
311,sarvaśas,sarvaśas,sarvaśas,,Note: Probably indeclinable
312,śru,śrūyatām,śru,SPr3ImPv,Mood = Imperative; Number = Singular; Person = 3; Tense = Present; Voice = Passive
313,ca,ca,ca,,Note: Probably indeclinable
314,abhidhā,abhidhāsyāmaḥ,abhidhā,PFu1In,Mood = Indicative; Number = Plural; Person = 1; Tense = Future
315,guṇa,guṇa,guṇa,Cp,Compound
316,doṣa,doṣān,doṣa,PAM,Case = Accusative; Gender = Masculine; Number = Plural
317,nara,nara,nara,Cp,Compound
318,ṛṣabha,ṛṣabhāḥ,ṛṣabha,PVM,Case = Vocative; Gender = Masculine; Number = Plural
319,śubha,śubha,śubha,Cp,Compound
320,aśubha,aśubha,aśubha,Cp,Compound
321,adhivāsa,adhivāsena,adhivāsa,SIM,Case = Instrumental; Gender = Masculine; Number = Singular
322,saṃsarga,saṃsargam,saṃsarga,SAM,Case = Accusative; Gender = Masculine; Number = Singular
323,kṛ,kurute,kṛ,SPr3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Present
324,yathā,yathā,yathā,,Note: Probably indeclinable
325,vastra,vastram,vastra,SANe,Case = Accusative; Gender = Neuter; Number = Singular
326,ap,āpaḥ,ap,PAF,Case = Accusative; Gender = Feminine; Number = Plural
327,tila,tilān,tila,PAM,Case = Accusative; Gender = Masculine; Number = Plural
328,bhūmi,bhūmim,bhūmi,SAF,Case = Accusative; Gender = Feminine; Number = Singular
329,gandha,gandhaḥ,gandha,SNM,Case = Nominative; Gender = Masculine; Number = Singular
330,vāsay,vāsayate,vāsay,SPr3In,Mood = Indicative; Number = Singular; Person = 3; Tense = Present
331,yathā,yathā,yathā,,Note: Probably indeclinable
332,puṣpa,puṣpāṇām,puṣpa,PGNe,Case = Genitive; Gender = Neuter; Number = Plural
333,adhivāsa,adhivāsena,adhivāsa,SIM,Case = Instrumental; Gender = Masculine; Number = Singular
334,tathā,tathā,tathā,,Note: Probably indeclinable
335,saṃsarga,saṃsarga,saṃsarga,Cp,Compound
336,ja,jāḥ,ja,PNM,Case = Nominative; Gender = Masculine; Number = Plural
337,guṇa,guṇāḥ,guṇa,PNM,Case = Nominative; Gender = Masculine; Number = Plural
338,moha,moha,moha,Cp,Compound
339,jāla,jālasya,jāla,SGNe,Case = Genitive; Gender = Neuter; Number = Singular
340,yoni,yoniḥ,yoni,SNF,Case = Nominative; Gender = Feminine; Number = Singular
341,hi,hi,hi,,Note: Probably indeclinable
342,muh,mūḍhaiḥ,muh,PIPaM,Case = Instrumental; Gender = Masculine; Number = Plural; VerbForm = Part
343,eva,eva,eva,,Note: Probably indeclinable
344,samāgama,samāgamaḥ,samāgama,SNM,Case = Nominative; Gender = Masculine; Number = Singular
345,ahar,ahani,ahar,SLNe,Case = Locative; Gender = Neuter; Number = Singular
346,ahar,ahani,ahar,SLNe,Case = Locative; Gender = Neuter; Number = Singular
347,dharma,dharmasya,dharma,SGM,Case = Genitive; Gender = Masculine; Number = Singular
348,yoni,yoniḥ,yoni,SNF,Case = Nominative; Gender = Feminine; Number = Singular
